,Cell,Drug,label
0,239,0,0
1,536,0,0
2,413,0,0
3,726,0,0
4,677,0,0
5,513,0,0
6,231,0,0
7,535,0,0
8,259,0,0
9,257,0,0
10,237,0,0
11,289,0,0
12,230,0,1
13,395,0,1
14,630,0,0
15,235,0,0
16,280,0,0
17,285,0,0
18,399,0,0
19,725,0,0
20,772,0,0
21,234,0,0
22,589,0,0
23,759,0,0
24,753,0,0
25,229,0,1
26,256,0,0
27,389,0,0
28,279,0,0
29,493,0,0
30,758,0,0
31,707,0,0
32,298,0,0
33,292,0,0
34,233,0,0
35,284,0,0
36,377,0,0
37,686,0,0
38,432,0,0
39,308,0,0
40,388,0,0
41,387,0,0
42,429,0,0
43,538,0,0
44,496,0,0
45,421,0,0
46,783,0,0
47,450,0,1
48,252,0,0
49,283,0,0
50,436,0,0
51,278,0,0
52,367,0,1
53,258,0,0
54,419,0,0
55,353,0,0
56,376,0,0
57,274,0,0
58,323,0,0
59,340,0,0
60,386,0,0
61,339,0,0
62,347,0,0
63,554,0,0
64,324,0,1
65,385,0,0
66,352,0,0
67,254,0,0
68,730,0,0
69,338,0,1
70,270,0,0
71,397,0,0
72,431,0,1
73,346,0,0
74,654,0,0
75,297,0,0
76,468,0,0
77,269,0,0
78,411,0,0
79,458,0,0
80,712,0,0
81,381,0,0
82,473,0,0
83,296,0,0
84,482,0,0
85,467,0,0
86,295,0,0
87,476,0,0
88,640,0,0
89,478,0,0
90,410,0,0
91,277,0,0
92,551,0,0
93,718,0,0
94,534,0,0
95,685,0,0
96,717,0,0
97,621,0,0
98,398,0,0
99,765,0,0
100,673,0,0
101,375,0,0
102,418,0,0
103,409,0,0
104,337,0,0
105,457,0,0
106,620,0,0
107,430,0,0
108,453,0,0
109,426,0,0
110,365,0,0
111,615,0,0
112,251,0,0
113,533,0,0
114,307,0,0
115,619,0,0
116,614,0,0
117,492,0,0
118,364,0,0
119,613,0,0
120,268,0,0
121,756,0,0
122,593,0,0
123,741,0,1
124,545,0,0
125,618,0,0
126,564,0,0
127,509,0,0
128,694,0,0
129,294,0,0
130,670,0,0
131,306,0,0
132,588,0,0
133,612,0,0
134,563,0,0
135,544,0,1
136,628,0,0
137,532,0,0
138,678,0,0
139,731,0,0
140,565,0,0
141,249,0,0
142,363,0,0
143,598,0,0
144,697,0,0
145,374,0,1
146,228,0,0
147,705,0,0
148,597,0,1
149,313,0,0
150,637,0,0
151,587,0,0
152,394,0,0
153,710,0,0
154,373,0,1
155,586,0,0
156,745,0,0
157,617,0,0
158,477,0,0
159,503,0,0
160,276,0,0
161,566,0,0
162,713,0,0
163,785,0,0
164,336,0,0
165,585,0,0
166,560,0,0
167,636,0,0
168,456,0,0
169,414,0,0
170,584,0,1
171,465,0,0
172,248,0,0
173,702,0,0
174,757,0,0
175,253,0,0
176,227,0,1
177,531,0,1
178,408,0,0
179,626,0,0
180,472,0,0
181,665,0,0
182,616,0,0
183,727,0,0
184,550,0,0
185,746,0,0
186,464,0,0
187,611,0,0
188,434,0,0
189,583,0,0
190,362,0,0
191,668,0,0
192,483,0,0
193,491,0,0
194,244,0,0
195,361,0,0
196,709,0,0
197,247,0,0
198,648,0,0
199,680,0,0
200,704,0,0
201,407,0,0
202,610,0,0
203,562,0,0
204,455,0,0
205,629,0,0
206,711,0,0
207,351,0,0
208,500,0,0
209,350,0,0
210,684,0,1
211,267,0,0
212,508,0,0
213,599,0,0
214,582,0,1
215,501,0,0
216,581,0,0
217,425,0,0
218,507,0,0
219,744,0,1
220,266,0,0
221,447,0,1
222,530,0,0
223,446,0,0
224,645,0,0
225,318,0,0
226,335,0,0
227,371,0,1
228,715,0,0
229,737,0,0
230,452,0,0
231,672,0,0
232,490,0,0
233,559,0,0
234,506,0,0
235,706,0,0
236,344,0,1
237,607,0,0
238,305,0,0
239,635,0,0
240,580,0,0
241,600,0,0
242,634,0,0
243,579,0,0
244,360,0,0
245,359,0,0
246,406,0,0
247,729,0,0
248,393,0,0
249,265,0,0
250,561,0,0
251,405,0,0
252,755,0,0
253,549,0,0
254,643,0,0
255,590,0,0
256,558,0,0
257,275,0,0
258,427,0,0
259,543,0,1
260,537,0,0
261,358,0,0
262,475,0,0
263,370,0,0
264,304,0,0
265,578,0,0
266,695,0,0
267,445,0,0
268,736,0,0
269,349,0,0
270,505,0,0
271,740,0,0
272,396,0,0
273,243,0,0
274,735,0,0
275,463,0,0
276,384,0,0
277,390,0,0
278,489,0,0
279,633,0,0
280,596,0,0
281,288,0,0
282,786,0,1
283,603,0,0
284,692,0,0
285,676,0,0
286,264,0,0
287,334,0,0
288,424,0,0
289,423,0,0
290,499,0,0
291,609,0,0
292,764,0,0
293,404,0,0
294,664,0,0
295,481,0,0
296,488,0,0
297,577,0,0
298,529,0,0
299,435,0,0
300,660,0,0
301,528,0,0
302,438,0,0
303,333,0,0
304,606,0,0
305,527,0,0
306,605,0,0
307,659,0,0
308,632,0,0
309,720,0,0
310,369,0,0
311,303,0,0
312,512,0,0
313,302,0,0
314,451,0,0
315,721,0,0
316,263,0,0
317,255,0,0
318,683,0,0
319,743,0,0
320,576,0,0
321,368,0,0
322,444,0,0
323,782,0,0
324,242,0,0
325,647,0,0
326,480,0,0
327,322,0,0
328,652,0,0
329,403,0,0
330,749,0,0
331,542,0,1
332,312,0,0
333,416,0,0
334,716,0,0
335,774,0,0
336,546,0,0
337,526,0,0
338,608,0,0
339,761,0,0
340,433,0,0
341,575,0,0
342,332,0,0
343,691,0,0
344,311,0,0
345,525,0,1
346,769,0,0
347,658,0,0
348,415,0,0
349,378,0,0
350,443,0,0
351,592,0,0
352,602,0,0
353,343,0,0
354,574,0,0
355,226,0,0
356,573,0,0
357,625,0,0
358,787,0,0
359,301,0,0
360,708,0,0
361,383,0,0
362,225,0,0
363,690,0,0
364,287,0,0
365,462,0,0
366,572,0,0
367,331,0,0
368,461,0,0
369,524,0,0
370,236,0,0
371,282,0,0
372,238,0,0
373,471,0,0
374,781,0,0
375,728,0,0
376,689,0,0
377,460,0,0
378,701,0,0
379,523,0,0
380,541,0,0
381,317,0,0
382,522,0,0
383,675,0,0
384,439,0,1
385,595,0,0
386,642,0,0
387,760,0,0
388,700,0,0
389,662,0,0
390,780,0,0
391,357,0,0
392,281,0,0
393,604,0,1
394,671,0,0
395,679,0,0
396,459,0,0
397,601,0,0
398,521,0,0
399,657,0,0
400,479,0,0
401,653,0,0
402,485,0,0
403,316,0,0
404,520,0,0
405,224,0,0
406,330,0,0
407,651,0,0
408,631,0,0
409,495,0,0
410,734,0,0
411,273,0,0
412,638,0,0
413,494,0,0
414,442,0,0
415,519,0,0
416,667,0,0
417,641,0,0
418,666,0,0
419,752,0,0
420,771,0,0
421,246,0,0
422,518,0,0
423,517,0,0
424,223,0,0
425,591,0,0
426,751,0,0
427,262,0,0
428,540,0,1
429,570,0,0
430,656,0,0
431,291,0,0
432,516,0,0
433,594,0,0
434,624,0,0
435,402,0,0
436,784,0,0
437,484,0,0
438,441,0,0
439,356,0,0
440,569,0,0
441,763,0,0
442,733,0,0
443,693,0,0
444,286,0,0
445,241,0,1
446,568,0,0
447,401,0,0
448,738,0,0
449,696,0,0
450,779,0,0
451,315,0,0
452,714,0,0
453,703,0,0
454,723,0,0
455,290,0,0
456,515,0,1
457,240,0,0
458,650,0,0
459,293,0,0
460,553,0,0
461,655,0,0
462,688,0,0
463,773,0,0
464,748,0,1
465,722,0,0
466,646,0,1
467,548,0,0
468,454,0,0
469,355,0,0
470,329,0,0
471,687,0,0
472,788,0,0
473,556,0,0
474,314,0,0
475,770,0,0
476,391,0,1
477,448,0,1
478,742,0,0
479,514,0,0
480,342,0,1
481,222,0,0
482,682,0,0
483,750,0,0
484,567,0,0
485,504,0,0
486,310,0,0
487,767,0,0
488,232,0,0
489,699,0,0
490,698,0,0
491,321,0,0
492,778,0,0
493,470,0,0
494,747,0,0
495,320,0,1
496,674,0,0
497,221,0,0
498,300,0,0
499,245,0,0
500,309,0,0
501,261,0,0
502,732,0,0
503,777,0,0
504,754,0,0
505,299,0,0
506,487,0,0
507,622,0,0
508,400,0,1
509,428,0,0
510,649,0,0
511,260,0,0
512,547,0,0
513,382,0,0
514,539,0,0
515,669,0,0
516,776,0,0
517,775,0,0
518,354,0,0
519,239,1,0
520,536,1,0
521,413,1,0
522,726,1,0
523,677,1,0
524,513,1,0
525,231,1,0
526,535,1,0
527,510,1,0
528,420,1,0
529,259,1,0
530,237,1,0
531,498,1,0
532,289,1,0
533,230,1,0
534,395,1,0
535,630,1,0
536,235,1,0
537,280,1,0
538,399,1,0
539,486,1,0
540,725,1,0
541,762,1,0
542,497,1,0
543,772,1,0
544,234,1,0
545,589,1,0
546,759,1,0
547,753,1,0
548,229,1,1
549,272,1,0
550,256,1,0
551,279,1,0
552,493,1,0
553,758,1,0
554,707,1,1
555,298,1,0
556,292,1,0
557,233,1,0
558,284,1,0
559,377,1,0
560,686,1,0
561,432,1,0
562,308,1,0
563,388,1,0
564,387,1,0
565,437,1,0
566,325,1,0
567,538,1,0
568,496,1,0
569,421,1,0
570,783,1,0
571,450,1,0
572,252,1,0
573,283,1,0
574,278,1,0
575,367,1,0
576,258,1,0
577,419,1,0
578,341,1,0
579,353,1,0
580,366,1,0
581,555,1,0
582,274,1,0
583,412,1,0
584,323,1,0
585,340,1,0
586,386,1,0
587,339,1,0
588,327,1,0
589,347,1,0
590,554,1,0
591,324,1,0
592,385,1,0
593,352,1,0
594,271,1,0
595,254,1,0
596,730,1,0
597,338,1,0
598,270,1,0
599,397,1,0
600,431,1,0
601,346,1,0
602,654,1,0
603,297,1,0
604,468,1,0
605,269,1,0
606,411,1,0
607,458,1,0
608,712,1,0
609,345,1,0
610,449,1,1
611,474,1,0
612,296,1,0
613,467,1,0
614,295,1,0
615,476,1,0
616,640,1,0
617,410,1,0
618,277,1,0
619,326,1,0
620,551,1,0
621,718,1,0
622,534,1,0
623,685,1,0
624,621,1,0
625,398,1,0
626,765,1,0
627,673,1,0
628,375,1,0
629,418,1,0
630,409,1,0
631,337,1,0
632,457,1,0
633,620,1,0
634,426,1,0
635,365,1,0
636,615,1,0
637,251,1,0
638,533,1,0
639,307,1,0
640,619,1,0
641,614,1,0
642,661,1,0
643,492,1,0
644,364,1,0
645,613,1,0
646,268,1,0
647,756,1,0
648,593,1,0
649,741,1,0
650,545,1,0
651,618,1,0
652,564,1,0
653,509,1,0
654,694,1,0
655,670,1,0
656,466,1,0
657,306,1,0
658,588,1,0
659,612,1,0
660,563,1,0
661,544,1,0
662,628,1,0
663,532,1,0
664,678,1,0
665,731,1,0
666,565,1,0
667,249,1,0
668,363,1,0
669,598,1,0
670,697,1,0
671,374,1,0
672,228,1,0
673,705,1,0
674,597,1,0
675,313,1,0
676,380,1,0
677,637,1,0
678,417,1,0
679,394,1,0
680,710,1,0
681,373,1,0
682,586,1,0
683,745,1,0
684,617,1,0
685,503,1,0
686,566,1,0
687,713,1,0
688,785,1,0
689,336,1,0
690,585,1,0
691,560,1,0
692,636,1,0
693,627,1,0
694,456,1,0
695,414,1,0
696,584,1,0
697,465,1,0
698,248,1,0
699,757,1,0
700,227,1,0
701,531,1,0
702,408,1,0
703,626,1,0
704,472,1,0
705,665,1,0
706,616,1,0
707,727,1,0
708,550,1,0
709,372,1,0
710,746,1,0
711,464,1,0
712,611,1,0
713,434,1,0
714,362,1,0
715,668,1,0
716,483,1,0
717,491,1,0
718,244,1,0
719,361,1,0
720,709,1,0
721,247,1,0
722,648,1,0
723,680,1,0
724,704,1,1
725,407,1,0
726,610,1,0
727,455,1,0
728,629,1,0
729,502,1,0
730,711,1,0
731,351,1,0
732,739,1,0
733,500,1,0
734,350,1,0
735,684,1,0
736,267,1,0
737,599,1,0
738,582,1,0
739,581,1,0
740,425,1,0
741,507,1,0
742,744,1,0
743,266,1,0
744,530,1,0
745,446,1,0
746,645,1,0
747,318,1,0
748,335,1,0
749,371,1,0
750,737,1,0
751,452,1,0
752,490,1,0
753,559,1,0
754,506,1,0
755,706,1,0
756,344,1,0
757,607,1,0
758,305,1,0
759,635,1,0
760,580,1,0
761,644,1,0
762,600,1,0
763,360,1,0
764,359,1,0
765,639,1,0
766,406,1,0
767,729,1,0
768,393,1,0
769,265,1,0
770,561,1,0
771,405,1,0
772,755,1,0
773,549,1,0
774,643,1,0
775,590,1,0
776,558,1,0
777,275,1,0
778,427,1,0
779,543,1,0
780,537,1,0
781,358,1,0
782,475,1,0
783,370,1,1
784,304,1,0
785,445,1,0
786,736,1,0
787,349,1,0
788,505,1,0
789,740,1,0
790,396,1,0
791,243,1,0
792,735,1,0
793,463,1,0
794,384,1,0
795,390,1,0
796,489,1,0
797,633,1,0
798,288,1,0
799,786,1,0
800,603,1,0
801,692,1,0
802,676,1,0
803,379,1,0
804,264,1,0
805,334,1,0
806,424,1,0
807,423,1,0
808,499,1,0
809,609,1,0
810,764,1,1
811,664,1,0
812,481,1,0
813,488,1,0
814,577,1,0
815,529,1,0
816,435,1,1
817,660,1,0
818,528,1,0
819,438,1,0
820,606,1,0
821,527,1,0
822,605,1,0
823,632,1,0
824,766,1,0
825,369,1,0
826,303,1,0
827,451,1,0
828,263,1,0
829,255,1,0
830,743,1,0
831,576,1,0
832,368,1,0
833,444,1,0
834,782,1,0
835,242,1,0
836,322,1,1
837,652,1,0
838,403,1,0
839,749,1,0
840,348,1,0
841,542,1,0
842,716,1,0
843,774,1,0
844,546,1,0
845,526,1,0
846,608,1,0
847,761,1,0
848,332,1,0
849,691,1,0
850,311,1,0
851,525,1,0
852,658,1,0
853,415,1,0
854,378,1,0
855,443,1,1
856,592,1,0
857,602,1,0
858,343,1,0
859,574,1,0
860,226,1,0
861,573,1,0
862,625,1,0
863,787,1,1
864,301,1,0
865,719,1,0
866,708,1,0
867,383,1,0
868,225,1,0
869,690,1,0
870,287,1,0
871,462,1,1
872,331,1,0
873,461,1,0
874,524,1,0
875,663,1,0
876,236,1,1
877,238,1,0
878,471,1,0
879,781,1,0
880,728,1,1
881,689,1,0
882,460,1,0
883,701,1,0
884,523,1,0
885,317,1,0
886,522,1,0
887,675,1,0
888,439,1,0
889,595,1,0
890,642,1,0
891,760,1,0
892,700,1,1
893,662,1,0
894,780,1,0
895,357,1,0
896,281,1,0
897,604,1,0
898,671,1,1
899,571,1,0
900,679,1,0
901,459,1,0
902,601,1,0
903,521,1,0
904,479,1,0
905,653,1,0
906,316,1,0
907,768,1,1
908,520,1,0
909,224,1,0
910,330,1,0
911,651,1,0
912,495,1,0
913,734,1,0
914,273,1,0
915,638,1,0
916,494,1,0
917,442,1,0
918,519,1,0
919,667,1,0
920,641,1,0
921,666,1,0
922,752,1,0
923,771,1,0
924,246,1,0
925,518,1,0
926,223,1,0
927,591,1,0
928,751,1,0
929,540,1,0
930,570,1,0
931,656,1,0
932,291,1,0
933,516,1,0
934,594,1,0
935,624,1,0
936,784,1,1
937,441,1,0
938,356,1,0
939,569,1,1
940,763,1,1
941,733,1,0
942,693,1,1
943,286,1,0
944,241,1,0
945,568,1,0
946,401,1,0
947,738,1,0
948,779,1,0
949,440,1,0
950,714,1,0
951,703,1,0
952,723,1,0
953,290,1,0
954,515,1,0
955,240,1,0
956,650,1,0
957,293,1,0
958,655,1,0
959,688,1,0
960,773,1,0
961,748,1,0
962,250,1,0
963,722,1,0
964,646,1,1
965,548,1,0
966,454,1,0
967,329,1,0
968,687,1,0
969,788,1,0
970,556,1,1
971,314,1,0
972,770,1,0
973,391,1,0
974,448,1,1
975,742,1,0
976,514,1,0
977,342,1,0
978,222,1,0
979,567,1,0
980,511,1,0
981,310,1,0
982,767,1,0
983,232,1,0
984,699,1,0
985,698,1,0
986,321,1,1
987,778,1,0
988,470,1,0
989,320,1,1
990,674,1,0
991,221,1,0
992,300,1,0
993,245,1,0
994,623,1,1
995,261,1,0
996,732,1,0
997,777,1,1
998,754,1,0
999,299,1,0
1000,487,1,0
1001,622,1,0
1002,400,1,0
1003,428,1,0
1004,319,1,0
1005,649,1,0
1006,260,1,0
1007,547,1,0
1008,382,1,1
1009,539,1,0
1010,669,1,0
1011,776,1,0
1012,775,1,1
1013,239,2,0
1014,536,2,0
1015,413,2,0
1016,726,2,1
1017,677,2,0
1018,513,2,0
1019,231,2,0
1020,535,2,0
1021,510,2,0
1022,420,2,1
1023,259,2,0
1024,237,2,0
1025,498,2,0
1026,289,2,0
1027,230,2,0
1028,395,2,0
1029,630,2,1
1030,235,2,0
1031,280,2,0
1032,399,2,0
1033,486,2,0
1034,725,2,0
1035,762,2,0
1036,497,2,0
1037,772,2,0
1038,234,2,0
1039,589,2,0
1040,759,2,0
1041,753,2,0
1042,229,2,0
1043,272,2,0
1044,256,2,0
1045,279,2,0
1046,493,2,0
1047,758,2,0
1048,707,2,0
