Cell,Drug,label
ACH-001716,9967941,1
ACH-001716,9956222,0
ACH-001716,9956119,0
ACH-001716,9952773,0
ACH-001716,9943465,0
ACH-001716,9938202,0
ACH-001716,9931953,0
ACH-001716,9914412,0
ACH-001716,9911830,0
ACH-001716,9910224,0
ACH-001716,9907093,0
ACH-001716,9903786,0
ACH-001716,9884685,0
ACH-001716,9874913,0
ACH-001716,9868037,0
ACH-001716,9863776,0
ACH-001716,9858940,0
ACH-001716,9826528,0
ACH-001716,9826308,0
ACH-001716,9813758,0
ACH-001716,9810884,1
ACH-001716,9549184,1
ACH-001716,85668777,0
ACH-001716,84691,1
ACH-001716,8249,0
ACH-001716,82146,0
ACH-001716,76044,0
ACH-001716,7251185,0
ACH-001716,71271629,0
ACH-001716,704473,0
ACH-001716,6918848,0
ACH-001716,6918638,0
ACH-001716,6918454,0
ACH-001716,6918289,0
ACH-001716,6914657,0
ACH-001716,6852167,0
ACH-001716,6753378,0
ACH-001716,6710780,0
ACH-001716,66577006,1
ACH-001716,65110,0
ACH-001716,6505803,0
ACH-001716,6450816,0
ACH-001716,6450551,0
ACH-001716,6445562,0
ACH-001716,6445533,0
ACH-001716,644241,0
ACH-001716,644215,0
ACH-001716,637858,0
ACH-001716,6253,0
ACH-001716,60750,0
ACH-001716,5746,0
ACH-001716,57339144,0
ACH-001716,5717801,0
ACH-001716,56965967,0
ACH-001716,56962337,0
ACH-001716,560326,0
ACH-001716,5494449,0
ACH-001716,54685215,0
ACH-001716,54676905,0
ACH-001716,5460769,1
ACH-001716,5459322,0
ACH-001716,5394,0
ACH-001716,5384616,0
ACH-001716,53394750,1
ACH-001716,53340664,0
ACH-001716,5330286,0
ACH-001716,53302361,0
ACH-001716,5329102,0
ACH-001716,5328940,0
ACH-001716,5327091,0
ACH-001716,5311510,0
ACH-001716,5311497,0
ACH-001716,5311,0
ACH-001716,5291,0
ACH-001716,5289247,0
ACH-001716,5280757,0
ACH-001716,5278396,0
ACH-001716,521106,0
ACH-001716,5208,0
ACH-001716,51371303,0
ACH-001716,5113032,0
ACH-001716,4993,0
ACH-001716,49836027,0
ACH-001716,49821040,0
ACH-001716,49806720,0
ACH-001716,46943432,1
ACH-001716,46931012,0
ACH-001716,46930998,0
ACH-001716,46907787,0
ACH-001716,46885626,0
ACH-001716,46883536,1
ACH-001716,46844147,0
ACH-001716,462382,0
ACH-001716,46224516,0
ACH-001716,46191454,0
ACH-001716,44819241,1
ACH-001716,448013,0
ACH-001716,447912,0
ACH-001716,446378,0
ACH-001716,44632017,1
ACH-001716,44551660,0
ACH-001716,444795,0
ACH-001716,44462760,0
ACH-001716,44450571,0
ACH-001716,44224160,0
ACH-001716,44182295,0
ACH-001716,44143370,0
ACH-001716,44137675,0
ACH-001716,42642645,0
ACH-001716,42640,0
ACH-001716,4263900,0
ACH-001716,4261,0
ACH-001716,387447,0
ACH-001716,3796,0
ACH-001716,36462,0
ACH-001716,36314,0
ACH-001716,3463933,0
ACH-001716,3385,1
ACH-001716,3218,0
ACH-001716,31703,0
ACH-001716,3062316,0
ACH-001716,3005532,0
ACH-001716,300471,0
ACH-001716,2733526,0
ACH-001716,2726824,0
