,Cell,Drug,label
0,ACH-001716,9967941,1
1,ACH-001716,9956222,-1
2,ACH-001716,9956119,-1
3,ACH-001716,9952773,-1
4,ACH-001716,9943465,-1
5,ACH-001716,9938202,-1
6,ACH-001716,9931953,-1
7,ACH-001716,9914412,-1
8,ACH-001716,9911830,-1
9,ACH-001716,9910224,-1
10,ACH-001716,9907093,-1
11,ACH-001716,9903786,-1
12,ACH-001716,9884685,-1
13,ACH-001716,9874913,-1
14,ACH-001716,9868037,-1
15,ACH-001716,9863776,-1
16,ACH-001716,9858940,-1
17,ACH-001716,9826528,-1
18,ACH-001716,9826308,-1
19,ACH-001716,9813758,-1
20,ACH-001716,9810884,1
21,ACH-001716,9549184,1
22,ACH-001716,85668777,-1
23,ACH-001716,84691,1
24,ACH-001716,8249,-1
25,ACH-001716,82146,-1
26,ACH-001716,76044,-1
27,ACH-001716,7251185,-1
28,ACH-001716,71271629,-1
29,ACH-001716,704473,-1
30,ACH-001716,6918848,-1
31,ACH-001716,6918638,-1
32,ACH-001716,6918454,-1
33,ACH-001716,6918289,-1
34,ACH-001716,6914657,-1
35,ACH-001716,6852167,-1
36,ACH-001716,6753378,-1
37,ACH-001716,6710780,-1
38,ACH-001716,66577006,1
39,ACH-001716,65110,-1
40,ACH-001716,6505803,-1
41,ACH-001716,6450816,-1
42,ACH-001716,6450551,-1
43,ACH-001716,6445562,-1
44,ACH-001716,6445533,-1
45,ACH-001716,644241,-1
46,ACH-001716,644215,-1
47,ACH-001716,637858,-1
48,ACH-001716,6253,-1
49,ACH-001716,60750,-1
50,ACH-001716,5746,-1
51,ACH-001716,57339144,-1
52,ACH-001716,5717801,-1
53,ACH-001716,56965967,-1
54,ACH-001716,56962337,-1
55,ACH-001716,560326,-1
56,ACH-001716,5494449,-1
57,ACH-001716,54685215,-1
58,ACH-001716,54676905,-1
59,ACH-001716,5460769,1
60,ACH-001716,5459322,-1
61,ACH-001716,5394,-1
62,ACH-001716,5384616,-1
63,ACH-001716,53394750,1
64,ACH-001716,53340664,-1
65,ACH-001716,5330286,-1
66,ACH-001716,53302361,-1
67,ACH-001716,5329102,-1
68,ACH-001716,5328940,-1
69,ACH-001716,5327091,-1
